Reference	MT Abundance	Ref ID
AMYG_ASPNG	0.04354	132	0.21542
AMYG_ASPNG	0.04836	132	0.21542
AMYG_ASPNG	0.06262	132	0.21542
AMYG_ASPNG	0.07372	132	0.21542
AMYG_ASPNG	0.0788	132	0.21542
AMYG_ASPNG	0.08852	132	0.21542
AMYG_ASPNG	0.1026	132	0.21542
AMYG_ASPNG	0.1379	132	0.21542
AMYG_ASPNG	0.13966	132	0.21542
AMYG_ASPNG	0.14052	132	0.21542
AMYG_ASPNG	0.14163	132	0.21542
AMYG_ASPNG	0.1685	132	0.21542
AMYG_ASPNG	0.1719	132	0.21542
AMYG_ASPNG	0.18297	132	0.21542
AMYG_ASPNG	0.2034	132	0.21542
AMYG_ASPNG	0.4187	132	0.21542
AMYG_ASPNG	0.686	132	0.21542
AMYG_ASPNG	0.71108	132	0.21542
AMYG_ASPNG	0.73471	132	0.21542
AMYG_ASPNG	0.7375	132	0.21542
AMYG_ASPNG	0.75135	132	0.21542
AMYG_ASPNG	0.8786	132	0.21542
CAS1_BOVIN	0.003994	129	0.23779
CAS1_BOVIN	0.008022	129	0.23779
CAS1_BOVIN	0.0492	129	0.23779
CAS1_BOVIN	0.05805	129	0.23779
CAS1_BOVIN	0.07474	129	0.23779
CAS1_BOVIN	0.172	129	0.23779
CAS1_BOVIN	0.65564	129	0.23779
CAS1_BOVIN	0.88064	129	0.23779
CAS2_BOVIN	0.0045	122	0.19466
CAS2_BOVIN	0.02024	122	0.19466
CAS2_BOVIN	0.02336	122	0.19466
CAS2_BOVIN	0.02659	122	0.19466
CAS2_BOVIN	0.035854	122	0.19466
CAS2_BOVIN	0.03822	122	0.19466
CAS2_BOVIN	0.04244	122	0.19466
CAS2_BOVIN	0.06423	122	0.19466
CAS2_BOVIN	0.0992	122	0.19466
CAS2_BOVIN	0.139	122	0.19466
CAS2_BOVIN	0.147964	122	0.19466
CAS2_BOVIN	0.1685	122	0.19466
CAS2_BOVIN	0.1768	122	0.19466
CAS2_BOVIN	0.2824	122	0.19466
CAS2_BOVIN	0.35293	122	0.19466
CAS2_BOVIN	0.50688	122	0.19466
CAS2_BOVIN	0.6316	122	0.19466
CAS2_BOVIN	0.7432	122	0.19466
CASB_BOVIN	0.00808	136	0.081039
CASB_BOVIN	0.00936	136	0.081039
CASB_BOVIN	0.050808	136	0.081039
CASB_BOVIN	0.05258	136	0.081039
CASB_BOVIN	0.0808	136	0.081039
CASB_BOVIN	0.1165	136	0.081039
CASB_BOVIN	0.1204	136	0.081039
CASB_BOVIN	0.20978	136	0.081039
CASK_BOVIN	0.00306	135	0.045612
CASK_BOVIN	0.00894	135	0.045612
CASK_BOVIN	0.01116	135	0.045612
CASK_BOVIN	0.01324	135	0.045612
CASK_BOVIN	0.02353	135	0.045612
CASK_BOVIN	0.0404	135	0.045612
CASK_BOVIN	0.04058	135	0.045612
CASK_BOVIN	0.04179	135	0.045612
CASK_BOVIN	0.05143	135	0.045612
CASK_BOVIN	0.05805	135	0.045612
CASK_BOVIN	0.0654	135	0.045612
CASK_BOVIN	0.06597	135	0.045612
CASK_BOVIN	0.08578	135	0.045612
CASK_BOVIN	0.12924	135	0.045612
CATA_BOVIN	0.004054	106	0.11944
CATA_BOVIN	0.01248	106	0.11944
CATA_BOVIN	0.012566	106	0.11944
CATA_BOVIN	0.01448	106	0.11944
CATA_BOVIN	0.01754	106	0.11944
CATA_BOVIN	0.01804	106	0.11944
CATA_BOVIN	0.01857	106	0.11944
CATA_BOVIN	0.020696	106	0.11944
CATA_BOVIN	0.03072	106	0.11944
CATA_BOVIN	0.03072	106	0.11944
CATA_BOVIN	0.03572	106	0.11944
CATA_BOVIN	0.037688	106	0.11944
CATA_BOVIN	0.03847	106	0.11944
CATA_BOVIN	0.03964	106	0.11944
CATA_BOVIN	0.042548	106	0.11944
CATA_BOVIN	0.04974	106	0.11944
CATA_BOVIN	0.05446	106	0.11944
CATA_BOVIN	0.0582	106	0.11944
CATA_BOVIN	0.063424	106	0.11944
CATA_BOVIN	0.06441	106	0.11944
CATA_BOVIN	0.065	106	0.11944
CATA_BOVIN	0.0651	106	0.11944
CATA_BOVIN	0.0669	106	0.11944
CATA_BOVIN	0.0772	106	0.11944
CATA_BOVIN	0.086314	106	0.11944
CATA_BOVIN	0.08852	106	0.11944
CATA_BOVIN	0.10138	106	0.11944
CATA_BOVIN	0.12942	106	0.11944
CATA_BOVIN	0.13334	106	0.11944
CATA_BOVIN	0.14052	106	0.11944
CATA_BOVIN	0.146556	106	0.11944
CATA_BOVIN	0.22524	106	0.11944
CATA_BOVIN	0.29063	106	0.11944
CATA_BOVIN	0.3176	106	0.11944
CATA_BOVIN	0.3402	106	0.11944
CATA_BOVIN	0.3447	106	0.11944
CATA_BOVIN	0.36878	106	0.11944
CATA_BOVIN	0.4996	106	0.11944
CATA_BOVIN	0.50688	106	0.11944
DNASE1_BOVIN	0.00627	121	0.13183
DNASE1_BOVIN	0.020696	121	0.13183
DNASE1_BOVIN	0.0244	121	0.13183
DNASE1_BOVIN	0.02578	121	0.13183
DNASE1_BOVIN	0.037551	121	0.13183
DNASE1_BOVIN	0.03794	121	0.13183
DNASE1_BOVIN	0.09368	121	0.13183
DNASE1_BOVIN	0.1204	121	0.13183
DNASE1_BOVIN	0.2077	121	0.13183
DNASE1_BOVIN	0.221	121	0.13183
DNASE1_BOVIN	0.3402	121	0.13183
DNASE1_BOVIN	0.44632	121	0.13183
GT26_SCHJA	0.006126	131	0.2326
GT26_SCHJA	0.006382	131	0.2326
GT26_SCHJA	0.00669	131	0.2326
GT26_SCHJA	0.01306	131	0.2326
GT26_SCHJA	0.033027	131	0.2326
GT26_SCHJA	0.047	131	0.2326
GT26_SCHJA	0.057454	131	0.2326
GT26_SCHJA	0.0886	131	0.2326
GT26_SCHJA	0.1856	131	0.2326
GT26_SCHJA	0.18932	131	0.2326
GT26_SCHJA	0.2601	131	0.2326
GT26_SCHJA	0.3335	131	0.2326
GT26_SCHJA	0.35397	131	0.2326
GT26_SCHJA	0.36834	131	0.2326
GT26_SCHJA	0.4365	131	0.2326
GT26_SCHJA	0.4548	131	0.2326
GT26_SCHJA	0.56362	131	0.2326
GT26_SCHJA	0.78274	131	0.2326
HBA_BOVINa	0.00428	119	0.31458
HBA_BOVINa	0.0071	119	0.31458
HBA_BOVINa	0.00924	119	0.31458
HBA_BOVINa	0.013995	119	0.31458
HBA_BOVINa	0.01468	119	0.31458
HBA_BOVINa	0.01964	119	0.31458
HBA_BOVINa	0.0747	119	0.31458
HBA_BOVINa	0.0782	119	0.31458
HBA_BOVINa	0.15196	119	0.31458
HBA_BOVINa	0.18297	119	0.31458
HBA_BOVINa	0.21488	119	0.31458
HBA_BOVINa	0.2746	119	0.31458
HBA_BOVINa	1.60824	119	0.31458
HBA_BOVINa	1.7497	119	0.31458
HBB_BOVINb	0.020696	114	0.29986
HBB_BOVINb	0.044864	114	0.29986
HBB_BOVINb	0.057106	114	0.29986
HBB_BOVINb	0.064102	114	0.29986
HBB_BOVINb	0.10252	114	0.29986
HBB_BOVINb	0.1175	114	0.29986
HBB_BOVINb	0.14304	114	0.29986
HBB_BOVINb	0.1711	114	0.29986
HBB_BOVINb	0.21806	114	0.29986
HBB_BOVINb	0.253818	114	0.29986
HBB_BOVINb	0.3402	114	0.29986
HBB_BOVINb	0.369	114	0.29986
HBB_BOVINb	0.41564	114	0.29986
HBB_BOVINb	0.5027	114	0.29986
HBB_BOVINb	0.51394	114	0.29986
HBB_BOVINb	0.56987	114	0.29986
HBB_BOVINb	0.6244	114	0.29986
HBB_BOVINb	0.869	114	0.29986
K1CI_HUMAN	0.003994	112	0.13569
K1CI_HUMAN	0.003994	112	0.13569
K1CI_HUMAN	0.006106	112	0.13569
K1CI_HUMAN	0.006126	112	0.13569
K1CI_HUMAN	0.006382	112	0.13569
K1CI_HUMAN	0.00645	112	0.13569
K1CI_HUMAN	0.00735	112	0.13569
K1CI_HUMAN	0.010859	112	0.13569
K1CI_HUMAN	0.01088	112	0.13569
K1CI_HUMAN	0.01426	112	0.13569
K1CI_HUMAN	0.015106	112	0.13569
K1CI_HUMAN	0.01526	112	0.13569
K1CI_HUMAN	0.020562	112	0.13569
K1CI_HUMAN	0.02164	112	0.13569
K1CI_HUMAN	0.02353	112	0.13569
K1CI_HUMAN	0.02353	112	0.13569
K1CI_HUMAN	0.031062	112	0.13569
K1CI_HUMAN	0.031126	112	0.13569
K1CI_HUMAN	0.03364	112	0.13569
K1CI_HUMAN	0.035112	112	0.13569
K1CI_HUMAN	0.03864	112	0.13569
K1CI_HUMAN	0.04132	112	0.13569
K1CI_HUMAN	0.0434	112	0.13569
K1CI_HUMAN	0.0638	112	0.13569
K1CI_HUMAN	0.06597	112	0.13569
K1CI_HUMAN	0.0842	112	0.13569
K1CI_HUMAN	0.09319	112	0.13569
K1CI_HUMAN	0.1033	112	0.13569
K1CI_HUMAN	0.10966	112	0.13569
K1CI_HUMAN	0.1172	112	0.13569
K1CI_HUMAN	0.14052	112	0.13569
K1CI_HUMAN	0.14716	112	0.13569
K1CI_HUMAN	0.1574	112	0.13569
K1CI_HUMAN	0.17866	112	0.13569
K1CI_HUMAN	0.18469	112	0.13569
K1CI_HUMAN	0.19812	112	0.13569
K1CI_HUMAN	0.2106	112	0.13569
K1CI_HUMAN	0.25956	112	0.13569
K1CI_HUMAN	0.2665	112	0.13569
K1CI_HUMAN	0.26736	112	0.13569
K1CI_HUMAN	0.2824	112	0.13569
K1CI_HUMAN	0.2841	112	0.13569
K1CI_HUMAN	0.2877	112	0.13569
K1CI_HUMAN	0.34213	112	0.13569
K1CI_HUMAN	0.36182	112	0.13569
K1CI_HUMAN	0.3778	112	0.13569
K1CI_HUMAN	0.3924	112	0.13569
K1CI_HUMAN	0.416	112	0.13569
K1CI_HUMAN	0.4548	112	0.13569
K1CI_HUMAN	0.48692	112	0.13569
K22E_HUMAN	0.003994	102	0.1359
K22E_HUMAN	0.004158	102	0.1359
K22E_HUMAN	0.00432	102	0.1359
K22E_HUMAN	0.004548	102	0.1359
K22E_HUMAN	0.0063	102	0.1359
K22E_HUMAN	0.00723	102	0.1359
K22E_HUMAN	0.00754	102	0.1359
K22E_HUMAN	0.00802	102	0.1359
K22E_HUMAN	0.00936	102	0.1359
K22E_HUMAN	0.01134	102	0.1359
K22E_HUMAN	0.0123	102	0.1359
K22E_HUMAN	0.01494	102	0.1359
K22E_HUMAN	0.01552	102	0.1359
K22E_HUMAN	0.01706	102	0.1359
K22E_HUMAN	0.017198	102	0.1359
K22E_HUMAN	0.01723	102	0.1359
K22E_HUMAN	0.01997	102	0.1359
K22E_HUMAN	0.0285	102	0.1359
K22E_HUMAN	0.02886	102	0.1359
K22E_HUMAN	0.03672	102	0.1359
K22E_HUMAN	0.03847	102	0.1359
K22E_HUMAN	0.03934	102	0.1359
K22E_HUMAN	0.0418	102	0.1359
K22E_HUMAN	0.045	102	0.1359
K22E_HUMAN	0.05004	102	0.1359
K22E_HUMAN	0.050808	102	0.1359
K22E_HUMAN	0.05973	102	0.1359
K22E_HUMAN	0.06039	102	0.1359
K22E_HUMAN	0.06156	102	0.1359
K22E_HUMAN	0.06474	102	0.1359
K22E_HUMAN	0.0772	102	0.1359
K22E_HUMAN	0.07752	102	0.1359
K22E_HUMAN	0.086314	102	0.1359
K22E_HUMAN	0.09388	102	0.1359
K22E_HUMAN	0.10998	102	0.1359
K22E_HUMAN	0.1101	102	0.1359
K22E_HUMAN	0.116681	102	0.1359
K22E_HUMAN	0.11794	102	0.1359
K22E_HUMAN	0.11854	102	0.1359
K22E_HUMAN	0.130124	102	0.1359
K22E_HUMAN	0.13544	102	0.1359
K22E_HUMAN	0.1564	102	0.1359
K22E_HUMAN	0.1784	102	0.1359
K22E_HUMAN	0.1805	102	0.1359
K22E_HUMAN	0.185	102	0.1359
K22E_HUMAN	0.19074	102	0.1359
K22E_HUMAN	0.206	102	0.1359
K22E_HUMAN	0.20712	102	0.1359
K22E_HUMAN	0.232	102	0.1359
K22E_HUMAN	0.2464	102	0.1359
K22E_HUMAN	0.2528	102	0.1359
K22E_HUMAN	0.2597	102	0.1359
K22E_HUMAN	0.264	102	0.1359
K22E_HUMAN	0.2671	102	0.1359
K22E_HUMAN	0.2887	102	0.1359
K22E_HUMAN	0.29902	102	0.1359
K22E_HUMAN	0.3396	102	0.1359
K22E_HUMAN	0.34452	102	0.1359
K22E_HUMAN	0.4274	102	0.1359
K22E_HUMAN	0.43068	102	0.1359
K22E_HUMAN	0.48186	102	0.1359
K22E_HUMAN	0.56758	102	0.1359
K22E_HUMAN	0.59523	102	0.1359
K2C1_HUMAN	0.00432	116	0.12789
K2C1_HUMAN	0.00548	116	0.12789
K2C1_HUMAN	0.00688	116	0.12789
K2C1_HUMAN	0.00762	116	0.12789
K2C1_HUMAN	0.00802	116	0.12789
K2C1_HUMAN	0.00802	116	0.12789
K2C1_HUMAN	0.00894	116	0.12789
K2C1_HUMAN	0.00894	116	0.12789
K2C1_HUMAN	0.00894	116	0.12789
K2C1_HUMAN	0.010146	116	0.12789
K2C1_HUMAN	0.01186	116	0.12789
K2C1_HUMAN	0.01392	116	0.12789
K2C1_HUMAN	0.01407	116	0.12789
K2C1_HUMAN	0.01544	116	0.12789
K2C1_HUMAN	0.01602	116	0.12789
K2C1_HUMAN	0.01723	116	0.12789
K2C1_HUMAN	0.021	116	0.12789
K2C1_HUMAN	0.021898	116	0.12789
K2C1_HUMAN	0.02732	116	0.12789
K2C1_HUMAN	0.03052	116	0.12789
K2C1_HUMAN	0.030787	116	0.12789
K2C1_HUMAN	0.0314	116	0.12789
K2C1_HUMAN	0.03428	116	0.12789
K2C1_HUMAN	0.03818	116	0.12789
K2C1_HUMAN	0.04014	116	0.12789
K2C1_HUMAN	0.04269	116	0.12789
K2C1_HUMAN	0.04328	116	0.12789
K2C1_HUMAN	0.04579	116	0.12789
K2C1_HUMAN	0.05361	116	0.12789
K2C1_HUMAN	0.05633	116	0.12789
K2C1_HUMAN	0.057106	116	0.12789
K2C1_HUMAN	0.05883	116	0.12789
K2C1_HUMAN	0.06156	116	0.12789
K2C1_HUMAN	0.0672	116	0.12789
K2C1_HUMAN	0.07306	116	0.12789
K2C1_HUMAN	0.0742	116	0.12789
K2C1_HUMAN	0.08604	116	0.12789
K2C1_HUMAN	0.0873	116	0.12789
K2C1_HUMAN	0.10236	116	0.12789
K2C1_HUMAN	0.1175	116	0.12789
K2C1_HUMAN	0.11914	116	0.12789
K2C1_HUMAN	0.1212	116	0.12789
K2C1_HUMAN	0.12272	116	0.12789
K2C1_HUMAN	0.12286	116	0.12789
K2C1_HUMAN	0.1257	116	0.12789
K2C1_HUMAN	0.139	116	0.12789
K2C1_HUMAN	0.163502	116	0.12789
K2C1_HUMAN	0.16352	116	0.12789
K2C1_HUMAN	0.16446	116	0.12789
K2C1_HUMAN	0.16862	116	0.12789
K2C1_HUMAN	0.195782	116	0.12789
K2C1_HUMAN	0.2077	116	0.12789
K2C1_HUMAN	0.21613	116	0.12789
K2C1_HUMAN	0.22656	116	0.12789
K2C1_HUMAN	0.2455	116	0.12789
K2C1_HUMAN	0.272853	116	0.12789
K2C1_HUMAN	0.27604	116	0.12789
K2C1_HUMAN	0.28024	116	0.12789
K2C1_HUMAN	0.2824	116	0.12789
K2C1_HUMAN	0.33138	116	0.12789
K2C1_HUMAN	0.3462	116	0.12789
K2C1_HUMAN	0.416	116	0.12789
K2C1_HUMAN	0.4418	116	0.12789
K2C1_HUMAN	0.45948	116	0.12789
K2C1_HUMAN	0.46372	116	0.12789
K2C1_HUMAN	0.51394	116	0.12789
K2C1_HUMAN	0.51394	116	0.12789
KRHU0	0.004158	109	0.15462
KRHU0	0.006382	109	0.15462
KRHU0	0.007864	109	0.15462
KRHU0	0.008666	109	0.15462
KRHU0	0.022274	109	0.15462
KRHU0	0.0285	109	0.15462
KRHU0	0.03072	109	0.15462
KRHU0	0.032458	109	0.15462
KRHU0	0.03572	109	0.15462
KRHU0	0.03672	109	0.15462
KRHU0	0.03812	109	0.15462
KRHU0	0.04094	109	0.15462
KRHU0	0.04244	109	0.15462
KRHU0	0.0492	109	0.15462
KRHU0	0.05004	109	0.15462
KRHU0	0.05361	109	0.15462
KRHU0	0.06248	109	0.15462
KRHU0	0.0651	109	0.15462
KRHU0	0.0662	109	0.15462
KRHU0	0.0686	109	0.15462
KRHU0	0.07976	109	0.15462
KRHU0	0.086314	109	0.15462
KRHU0	0.0873	109	0.15462
KRHU0	0.0888	109	0.15462
KRHU0	0.103896	109	0.15462
KRHU0	0.1101	109	0.15462
KRHU0	0.1257	109	0.15462
KRHU0	0.1537	109	0.15462
KRHU0	0.16166	109	0.15462
KRHU0	0.1653	109	0.15462
KRHU0	0.1768	109	0.15462
KRHU0	0.19074	109	0.15462
KRHU0	0.19804	109	0.15462
KRHU0	0.1988	109	0.15462
KRHU0	0.21288	109	0.15462
KRHU0	0.2583	109	0.15462
KRHU0	0.34452	109	0.15462
KRHU0	0.35525	109	0.15462
KRHU0	0.3586	109	0.15462
KRHU0	0.39563	109	0.15462
KRHU0	0.42354	109	0.15462
KRHU0	0.573	109	0.15462
KRHU0	0.5754	109	0.15462
KRHU0	0.62896	109	0.15462
Lysozyme_C	0.01088	133	0.38425
Lysozyme_C	0.01306	133	0.38425
Lysozyme_C	0.01823	133	0.38425
Lysozyme_C	0.0379	133	0.38425
Lysozyme_C	0.03864	133	0.38425
Lysozyme_C	0.0506	133	0.38425
Lysozyme_C	0.0519	133	0.38425
Lysozyme_C	0.065932	133	0.38425
Lysozyme_C	0.15618	133	0.38425
Lysozyme_C	0.2666	133	0.38425
Lysozyme_C	0.271	133	0.38425
Lysozyme_C	0.3335	133	0.38425
Lysozyme_C	0.49176	133	0.38425
Lysozyme_C	0.7724	133	0.38425
Lysozyme_C	1.7497	133	0.38425
Lysozyme_C	1.81965	133	0.38425
P001|ALBU_BOVIN	0.00216	100	0.39749
P001|ALBU_BOVIN	0.0036	100	0.39749
P001|ALBU_BOVIN	0.004072	100	0.39749
P001|ALBU_BOVIN	0.004122	100	0.39749
P001|ALBU_BOVIN	0.004158	100	0.39749
P001|ALBU_BOVIN	0.00438	100	0.39749
P001|ALBU_BOVIN	0.00446	100	0.39749
P001|ALBU_BOVIN	0.00582	100	0.39749
P001|ALBU_BOVIN	0.006154	100	0.39749
P001|ALBU_BOVIN	0.006426	100	0.39749
P001|ALBU_BOVIN	0.006426	100	0.39749
P001|ALBU_BOVIN	0.00753	100	0.39749
P001|ALBU_BOVIN	0.0079	100	0.39749
P001|ALBU_BOVIN	0.0079	100	0.39749
P001|ALBU_BOVIN	0.008057	100	0.39749
P001|ALBU_BOVIN	0.00845	100	0.39749
P001|ALBU_BOVIN	0.008568	100	0.39749
P001|ALBU_BOVIN	0.008935	100	0.39749
P001|ALBU_BOVIN	0.00924	100	0.39749
P001|ALBU_BOVIN	0.009747	100	0.39749
P001|ALBU_BOVIN	0.00976	100	0.39749
P001|ALBU_BOVIN	0.01007	100	0.39749
P001|ALBU_BOVIN	0.01038	100	0.39749
P001|ALBU_BOVIN	0.010672	100	0.39749
P001|ALBU_BOVIN	0.01084	100	0.39749
P001|ALBU_BOVIN	0.01124	100	0.39749
P001|ALBU_BOVIN	0.01124	100	0.39749
P001|ALBU_BOVIN	0.01168	100	0.39749
P001|ALBU_BOVIN	0.01196	100	0.39749
P001|ALBU_BOVIN	0.01196	100	0.39749
P001|ALBU_BOVIN	0.01196	100	0.39749
P001|ALBU_BOVIN	0.01404	100	0.39749
P001|ALBU_BOVIN	0.014288	100	0.39749
P001|ALBU_BOVIN	0.01468	100	0.39749
P001|ALBU_BOVIN	0.01486	100	0.39749
P001|ALBU_BOVIN	0.01552	100	0.39749
P001|ALBU_BOVIN	0.01595	100	0.39749
P001|ALBU_BOVIN	0.01726	100	0.39749
P001|ALBU_BOVIN	0.01766	100	0.39749
P001|ALBU_BOVIN	0.01778	100	0.39749
P001|ALBU_BOVIN	0.01848	100	0.39749
P001|ALBU_BOVIN	0.018768	100	0.39749
P001|ALBU_BOVIN	0.01947	100	0.39749
P001|ALBU_BOVIN	0.01947	100	0.39749
P001|ALBU_BOVIN	0.019915	100	0.39749
P001|ALBU_BOVIN	0.020696	100	0.39749
P001|ALBU_BOVIN	0.023	100	0.39749
P001|ALBU_BOVIN	0.02388	100	0.39749
P001|ALBU_BOVIN	0.02423	100	0.39749
P001|ALBU_BOVIN	0.027	100	0.39749
P001|ALBU_BOVIN	0.02782	100	0.39749
P001|ALBU_BOVIN	0.03276	100	0.39749
P001|ALBU_BOVIN	0.03276	100	0.39749
P001|ALBU_BOVIN	0.03501	100	0.39749
P001|ALBU_BOVIN	0.03614	100	0.39749
P001|ALBU_BOVIN	0.03614	100	0.39749
P001|ALBU_BOVIN	0.036598	100	0.39749
P001|ALBU_BOVIN	0.038	100	0.39749
P001|ALBU_BOVIN	0.0412	100	0.39749
P001|ALBU_BOVIN	0.04164	100	0.39749
P001|ALBU_BOVIN	0.04164	100	0.39749
P001|ALBU_BOVIN	0.042476	100	0.39749
P001|ALBU_BOVIN	0.0428	100	0.39749
P001|ALBU_BOVIN	0.0435	100	0.39749
P001|ALBU_BOVIN	0.04488	100	0.39749
P001|ALBU_BOVIN	0.045	100	0.39749
P001|ALBU_BOVIN	0.04592	100	0.39749
P001|ALBU_BOVIN	0.04622	100	0.39749
P001|ALBU_BOVIN	0.04622	100	0.39749
P001|ALBU_BOVIN	0.04644	100	0.39749
P001|ALBU_BOVIN	0.04726	100	0.39749
P001|ALBU_BOVIN	0.0494	100	0.39749
P001|ALBU_BOVIN	0.05179	100	0.39749
P001|ALBU_BOVIN	0.0546	100	0.39749
P001|ALBU_BOVIN	0.0556	100	0.39749
P001|ALBU_BOVIN	0.05576	100	0.39749
P001|ALBU_BOVIN	0.05633	100	0.39749
P001|ALBU_BOVIN	0.0564	100	0.39749
P001|ALBU_BOVIN	0.05692	100	0.39749
P001|ALBU_BOVIN	0.05821	100	0.39749
P001|ALBU_BOVIN	0.05868	100	0.39749
P001|ALBU_BOVIN	0.06072	100	0.39749
P001|ALBU_BOVIN	0.06072	100	0.39749
P001|ALBU_BOVIN	0.06243	100	0.39749
P001|ALBU_BOVIN	0.06442	100	0.39749
P001|ALBU_BOVIN	0.06474	100	0.39749
P001|ALBU_BOVIN	0.066984	100	0.39749
P001|ALBU_BOVIN	0.066984	100	0.39749
P001|ALBU_BOVIN	0.0682	100	0.39749
P001|ALBU_BOVIN	0.068384	100	0.39749
P001|ALBU_BOVIN	0.068384	100	0.39749
